"AniList ID","Title","Format","Status","Progress","Volumes","Repeats","Score","Notes","Start Date","Completed Date"
13367,"Kono Naka ni Hitori, Imouto ga Iru!","TV","COMPLETED",12,"N/A",0,80,"","0000-00-00","0000-00-00"
13585,"Natsuyuki Rendezvous","TV","PLANNING",0,"N/A",0,0,"","0000-00-00","0000-00-00"
13667,"ROAD TO NINJA: NARUTO THE MOVIE","MOVIE","COMPLETED",1,"N/A",0,80,"","0000-00-00","0000-00-00"
13759,"Sakurasou no Pet na Kanojo","TV","COMPLETED",24,"N/A",0,90,"","0000-00-00","0000-00-00"
14129,"STARLESS: 21st Century nymphomaniacs.","OVA","COMPLETED",4,"N/A",0,100,"","0000-00-00","0000-00-00"
14407,"PERSONA 3 THE MOVIE: #1 Spring of Birth","MOVIE","COMPLETED",1,"N/A",0,90,"","2020-12-12","2020-12-12"
14713,"Kamisama Hajimemashita","TV","PLANNING",0,"N/A",0,0,"","0000-00-00","0000-00-00"
14749,"Ore no Kanojo to Osananajimi ga Shuraba Sugiru","TV","COMPLETED",13,"N/A",0,70,"","0000-00-00","0000-00-00"
14813,"Yahari Ore no Seishun Love Come wa Machigatteiru.","TV","PLANNING",0,"N/A",0,0,"","0000-00-00","0000-00-00"
14829,"Fate/kaleid liner Prisma☆Illya","ONA","COMPLETED",10,"N/A",0,70,"","2020-8-29","2020-8-29"
15005,"Kyou no Asuka Show","ONA","COMPLETED",20,"N/A",0,70,"","0000-00-00","0000-00-00"
15125,"Teekyuu","TV_SHORT","CURRENT",11,"N/A",0,0,"","2026-4-24","0000-00-00"
15225,"Hentai Ouji to Warawanai Neko.","TV","COMPLETED",12,"N/A",0,90,"","0000-00-00","0000-00-00"
15609,"Kono Naka ni Hitori, Imouto ga Iru!: Ani, Imouto, Koibito","OVA","COMPLETED",1,"N/A",0,80,"","0000-00-00","0000-00-00"
16201,"Aku no Hana","TV","PLANNING",0,"N/A",0,0,"","0000-00-00","0000-00-00"
16397,"Photokano","TV","COMPLETED",13,"N/A",0,90,"","0000-00-00","0000-00-00"
16417,"Tamako Market","TV","COMPLETED",12,"N/A",0,90,"","0000-00-00","0000-00-00"
16742,"Watashi ga Motenai no wa Dou Kangaetemo Omaera ga Warui!","TV","COMPLETED",12,"N/A",0,80,"","0000-00-00","0000-00-00"
16782,"Kotonoha no Niwa","MOVIE","PLANNING",0,"N/A",0,0,"","0000-00-00","0000-00-00"
16870,"THE LAST: NARUTO THE MOVIE","MOVIE","COMPLETED",1,"N/A",0,70,"","2021-6-25","2021-6-25"
17157,"No Zo Ki A Na","OVA","PLANNING",0,"N/A",0,0,"","0000-00-00","0000-00-00"
17741,"Kimi no Iru Machi","TV","COMPLETED",12,"N/A",0,70,"","0000-00-00","0000-00-00"
18153,"Kyoukai no Kanata","TV","COMPLETED",12,"N/A",0,90,"","2020-1-31","2020-1-31"
18679,"Kill la Kill","TV","COMPLETED",24,"N/A",0,100,"","0000-00-00","0000-00-00"
19315,"Pupa","TV_SHORT","PLANNING",0,"N/A",0,0,"","0000-00-00","0000-00-00"
19431,"Gokujo.: Souda Onsen ni Ikou!!","SPECIAL","COMPLETED",1,"N/A",0,100,"","0000-00-00","0000-00-00"
20377,"Dorei Usagi to Anthony THE ANIMATION","OVA","COMPLETED",1,"N/A",0,70,"","0000-00-00","0000-00-00"
20453,"Watashi ga Motenai no wa Dou Kangaetemo Omaera ga Warui!: Motenaishi, Nazomeite Miru","OVA","COMPLETED",1,"N/A",0,70,"","0000-00-00","0000-00-00"
20519,"Tamako Love Story","MOVIE","COMPLETED",1,"N/A",0,90,"","0000-00-00","0000-00-00"
20572,"Kill la Kill Tokubetsu-hen","OVA","COMPLETED",2,"N/A",0,100,"","0000-00-00","2025-8-7"
20594,"Sword Art Online II","TV","COMPLETED",24,"N/A",0,70,"","0000-00-00","0000-00-00"
20602,"Amagi Brilliant Park","TV","COMPLETED",13,"N/A",0,80,"","0000-00-00","0000-00-00"
20611,"Futsuu no Joshikousei ga [Locodol] Yatte Mita.","TV","COMPLETED",12,"N/A",0,70,"","0000-00-00","0000-00-00"
20705,"sin: Nanatsu no Taizai","TV","PLANNING",0,"N/A",0,0,"","0000-00-00","0000-00-00"
20715,"Kimi no Iru Machi OVA","OVA","COMPLETED",2,"N/A",0,50,"","0000-00-00","0000-00-00"
20735,"Danna ga Nani wo Itteiru ka Wakaranai Ken","TV_SHORT","COMPLETED",13,"N/A",0,80,"","0000-00-00","0000-00-00"
20736,"PERSONA 3 THE MOVIE: #2 Midsummer Knight's Dream","MOVIE","COMPLETED",1,"N/A",0,90,"","2020-12-12","2020-12-12"
20737,"PERSONA 3 THE MOVIE: #3 Falling Down","MOVIE","COMPLETED",1,"N/A",0,90,"","2020-12-12","2020-12-13"
20768,"Kyoukai no Kanata: I'LL BE HERE - Kako-hen","MOVIE","COMPLETED",1,"N/A",0,90,"","2020-1-31","2020-1-31"
20804,"Nozo x Kimi","OVA","PLANNING",0,"N/A",0,0,"","0000-00-00","0000-00-00"
20807,"Prison School","TV","COMPLETED",12,"N/A",0,90,"","0000-00-00","0000-00-00"
20839,"Triage X","TV","COMPLETED",10,"N/A",0,80,"","0000-00-00","0000-00-00"
20840,"Junketsu no Maria","TV","DROPPED",2,"N/A",0,50,"","2025-9-17","0000-00-00"
20851,"Futsuu no Joshikousei ga [Locodol] Yatte Mita.: Nagarekawa, Annai Shite Mita.","OVA","COMPLETED",1,"N/A",0,70,"","0000-00-00","0000-00-00"
20910,"Shimoneta to Iu Gainen ga Sonzai Shinai Taikutsu na Sekai","TV","COMPLETED",12,"N/A",0,70,"","0000-00-00","0000-00-00"
20954,"Koe no Katachi","MOVIE","COMPLETED",1,"N/A",0,90,"","0000-00-00","0000-00-00"
20963,"Kyoukai no Kanata: I'LL BE HERE - Mirai-hen","MOVIE","COMPLETED",1,"N/A",0,90,"","2020-1-31","2020-1-31"
20987,"Himouto! Umaru-chan","TV","COMPLETED",12,"N/A",0,70,"","0000-00-00","0000-00-00"
21000,"Danna ga Nani wo Itteiru ka Wakaranai Ken 2-sure-me","TV_SHORT","COMPLETED",13,"N/A",0,80,"","0000-00-00","0000-00-00"
21067,"Itadaki! Seieki♥","OVA","PLANNING",0,"N/A",0,0,"","0000-00-00","0000-00-00"
21077,"Amagi Brilliant Park: Nonbirishiteiru Hima ga Nai!","OVA","COMPLETED",1,"N/A",0,80,"","0000-00-00","0000-00-00"
21093,"Monster Musume no Iru Nichijou","TV","COMPLETED",12,"N/A",0,70,"","0000-00-00","2025-8-16"
21100,"Fella Pure: Mitarashi-san Chi no Jijou - THE ANIMATION","OVA","PLANNING",0,"N/A",0,0,"","0000-00-00","0000-00-00"
21124,"Ane Kyun: Joshi ga Ie ni Kita!","OVA","PLANNING",0,"N/A",0,0,"","0000-00-00","0000-00-00"
21202,"Kono Subarashii Sekai ni Shukufuku wo!","TV","COMPLETED",10,"N/A",0,80,"","0000-00-00","0000-00-00"
21222,"Mankitsu Happening","OVA","PLANNING",0,"N/A",0,0,"","0000-00-00","0000-00-00"
21248,"PERSONA 3 THE MOVIE: #4 Winter of Rebirth","MOVIE","COMPLETED",1,"N/A",0,90,"","2020-12-13","2020-12-13"
21278,"Enbi","OVA","COMPLETED",2,"N/A",0,70,"","0000-00-00","0000-00-00"
21284,"Flying Witch","TV","COMPLETED",12,"N/A",0,80,"","0000-00-00","0000-00-00"
21290,"Netoge no Yome wa Onnanoko ja Nai to Omotta?","TV","COMPLETED",12,"N/A",0,80,"","0000-00-00","0000-00-00"
21306,"Musaigen no Phantom World","TV","COMPLETED",13,"N/A",0,70,"","0000-00-00","0000-00-00"
21327,"Himouto! Umaru-chan OVA","OVA","COMPLETED",2,"N/A",0,70,"","0000-00-00","0000-00-00"
21328,"Himouto! Umaru-chanS","SPECIAL","COMPLETED",12,"N/A",0,60,"","0000-00-00","0000-00-00"
21338,"Triage X: RECOLLECTION XOXO","OVA","COMPLETED",1,"N/A",0,70,"","0000-00-00","0000-00-00"
21359,"Ooya-san wa Shishunki!","TV_SHORT","COMPLETED",12,"N/A",0,80,"","0000-00-00","0000-00-00"
21365,"Dagashi Kashi","TV","COMPLETED",12,"N/A",0,60,"","0000-00-00","0000-00-00"
21378,"Masou Gakuen HxH","TV","COMPLETED",12,"N/A",0,60,"","0000-00-00","0000-00-00"
21403,"Sword Art Online: Ordinal Scale","MOVIE","COMPLETED",1,"N/A",0,80,"","0000-00-00","0000-00-00"
21432,"PERSONA 5 the Animation: THE DAY BREAKERS","SPECIAL","COMPLETED",1,"N/A",0,80,"","0000-00-00","2023-12-22"
21442,"Futsuu no Joshikousei ga [Locodol] Yattemita. OVA","OVA","COMPLETED",2,"N/A",0,70,"","0000-00-00","0000-00-00"
21466,"Kowaremono THE ANIMATION","OVA","COMPLETED",1,"N/A",0,70,"","0000-00-00","0000-00-00"
21514,"Toshi Densetsu Series","OVA","COMPLETED",6,"N/A",0,80,"","0000-00-00","0000-00-00"
21519,"Kimi no Na wa.","MOVIE","COMPLETED",1,"N/A",0,80,"","0000-00-00","0000-00-00"
21521,"Kowaremono: Risa THE ANIMATION","OVA","COMPLETED",1,"N/A",0,60,"","0000-00-00","0000-00-00"
21565,"Prison School: Mad Wax","OVA","COMPLETED",1,"N/A",0,80,"","0000-00-00","0000-00-00"
21574,"Kono Subarashii Sekai ni Shukufuku wo!: Kono Subarashii Choker ni Shukufuku wo!","OVA","COMPLETED",1,"N/A",0,80,"","2025-8-7","2025-8-7"
21580,"Watashi wa, Kairaku Izonshou","OVA","PLANNING",0,"N/A",0,0,"","0000-00-00","0000-00-00"
21581,"JK to Ero Konbini Tenchou","OVA","COMPLETED",6,"N/A",0,80,"","0000-00-00","0000-00-00"
21613,"Youjo Senki","TV","COMPLETED",12,"N/A",0,60,"","0000-00-00","2025-8-5"
21628,"Yakin Byoutou Specials","OVA","COMPLETED",2,"N/A",0,80,"","0000-00-00","0000-00-00"
21639,"Keijo!!!!!!!!","TV","COMPLETED",12,"N/A",0,80,"","0000-00-00","0000-00-00"
21699,"Kono Subarashii Sekai ni Shukufuku wo! 2","TV","COMPLETED",10,"N/A",0,80,"","0000-00-00","0000-00-00"
21701,"Kuzu no Honkai","TV","COMPLETED",12,"N/A",0,90,"","0000-00-00","0000-00-00"
21731,"Hand Shakers","TV","PLANNING",0,"N/A",0,0,"","0000-00-00","0000-00-00"
21754,"Shiiku x Kanojo","OVA","COMPLETED",4,"N/A",0,60,"","0000-00-00","0000-00-00"
21776,"Kobayashi-san Chi no Maidragon","TV","COMPLETED",13,"N/A",0,80,"","0000-00-00","0000-00-00"
21828,"Shoujo Ramune","OVA","COMPLETED",4,"N/A",0,60,"","0000-00-00","2025-8-22"
21838,"Shuumatsu no Izetta","TV","COMPLETED",12,"N/A",0,80,"","0000-00-00","0000-00-00"
21857,"Masamune-kun no Revenge","TV","COMPLETED",12,"N/A",0,80,"","0000-00-00","0000-00-00"
87517,"Hinako Note","TV","COMPLETED",12,"N/A",0,80,"","2020-1-31","2020-2-1"
97617,"Isekai Shokudou","TV","COMPLETED",12,"N/A",0,70,"","0000-00-00","0000-00-00"
97621,"Kowaremono: Risa PLUS THE ANIMATION","OVA","COMPLETED",1,"N/A",0,60,"","0000-00-00","0000-00-00"
97636,"Akiba's Trip: The Animation","TV","COMPLETED",13,"N/A",0,80,"","2020-2-1","2020-2-1"
97682,"Zero kara Hajimeru Mahou no Sho","TV","COMPLETED",12,"N/A",0,70,"","2020-2-2","2020-2-3"
97716,"Getsuyoubi no Tawawa","ONA","COMPLETED",12,"N/A",0,80,"","0000-00-00","0000-00-00"
97730,"Seiren","TV","PLANNING",0,"N/A",0,0,"","0000-00-00","0000-00-00"
97815,"Fate/Grand Order: First Order","SPECIAL","COMPLETED",1,"N/A",0,80,"","0000-00-00","0000-00-00"
97832,"citrus","TV","COMPLETED",12,"N/A",0,100,"","2020-1-18","2020-1-18"
97903,"Sakura Quest","TV","COMPLETED",25,"N/A",0,90,"","0000-00-00","0000-00-00"
97908,"Uchiage Hanabi, Shita kara Miru ka? Yoko kara Miru ka?","MOVIE","COMPLETED",1,"N/A",0,60,"","0000-00-00","0000-00-00"
97936,"Masou Gakuen HxH Specials","SPECIAL","COMPLETED",6,"N/A",0,50,"","0000-00-00","0000-00-00"
97938,"BORUTO: NARUTO NEXT GENERATIONS","TV","CURRENT",4,"N/A",0,0,"","2026-4-24","0000-00-00"
97994,"Blend S","TV","COMPLETED",12,"N/A",0,80,"","0000-00-00","0000-00-00"
97996,"Kono Subarashii Sekai ni Shukufuku wo! 2: Kono Subarashii Geijutsu ni Shukufuku wo!","OVA","COMPLETED",1,"N/A",0,80,"","2025-8-7","2025-8-7"
98035,"Fate/Apocrypha","TV","COMPLETED",25,"N/A",0,60,"","0000-00-00","0000-00-00"
98060,"Getsuyoubi no Tawawa Specials","SPECIAL","COMPLETED",2,"N/A",0,80,"","0000-00-00","0000-00-00"
98080,"Green Eyes: Ane Kyun! yori THE ANIMATION","OVA","PLANNING",0,"N/A",0,0,"","0000-00-00","0000-00-00"
98081,"Otokonoko ♂ Delivery","OVA","COMPLETED",1,"N/A",0,90,"","0000-00-00","0000-00-00"
98320,"Koi to Uso","TV","COMPLETED",12,"N/A",0,70,"","0000-00-00","0000-00-00"
98385,"Koi wa Ameagari no You ni","TV","COMPLETED",12,"N/A",0,80,"","0000-00-00","0000-00-00"
98436,"Mahoutsukai no Yome","TV","PLANNING",0,"N/A",0,0,"","0000-00-00","0000-00-00"
98572,"Himouto! Umaru-chan R","TV","COMPLETED",12,"N/A",0,70,"","0000-00-00","0000-00-00"
98596,"Imouto sae Ireba Ii.","TV","COMPLETED",12,"N/A",0,60,"","2025-8-22","2025-8-23"
98790,"Skirt no Naka wa Kedamono Deshita.","ONA","COMPLETED",12,"N/A",0,70,"","0000-00-00","2023-1-6"
99131,"Comic Girls","TV","COMPLETED",12,"N/A",0,60,"","2020-2-9","2020-2-9"
99349,"Inyouchuu Shoku: Harami Ochiru Shoujo-tachi Anime Edition","OVA","COMPLETED",1,"N/A",0,90,"","0000-00-00","0000-00-00"
99424,"SSSS.GRIDMAN","TV","COMPLETED",12,"N/A",0,90,"","0000-00-00","0000-00-00"
99578,"Wotaku ni Koi wa Muzukashii","TV","PLANNING",0,"N/A",0,0,"","0000-00-00","0000-00-00"
99638,"Alice or Alice: Siscon Niisan to Futago no Imouto","TV_SHORT","DROPPED",4,"N/A",0,40,"","2020-2-20","2020-2-20"
99693,"PERSONA5 the Animation","TV","COMPLETED",26,"N/A",0,60,"","2020-1-26","2020-1-26"
99726,"Net-juu no Susume","TV","COMPLETED",10,"N/A",0,100,"","2025-8-29","2025-8-29"
100112,"Kenja no Mago","TV","COMPLETED",12,"N/A",0,80,"","0000-00-00","0000-00-00"
100182,"Sword Art Online: Alicization","TV","COMPLETED",24,"N/A",0,70,"","0000-00-00","0000-00-00"
100183,"Sword Art Online Alternative: Gun Gale Online","TV","COMPLETED",12,"N/A",0,80,"","0000-00-00","0000-00-00"
100485,"Real Eroge Situation! The Animation","OVA","PLANNING",0,"N/A",0,0,"","0000-00-00","0000-00-00"
100668,"Arifureta Shokugyou de Sekai Saikyou","TV","COMPLETED",13,"N/A",0,90,"","2025-8-28","2025-8-29"
100684,"Net-juu no Susume OVA","OVA","COMPLETED",1,"N/A",0,100,"","0000-00-00","2025-8-29"
101004,"Isekai Maou to Shoukan Shoujo no Dorei Majutsu","TV","PLANNING",0,"N/A",0,0,"","0000-00-00","0000-00-00"
101033,"Muttsuri Dosukebe Russia Gibo Shimai no Honshitsu Minuite Sex Zanmai","OVA","PLANNING",0,"N/A",0,0,"","0000-00-00","0000-00-00"
101168,"Plunderer","TV","COMPLETED",24,"N/A",0,80,"","0000-00-00","0000-00-00"
101213,"Masamune-kun no Revenge OVA","OVA","COMPLETED",1,"N/A",0,80,"","0000-00-00","0000-00-00"
101227,"Watashi, Nouryoku wa Heikinchi de tte Itta yo ne!","TV","COMPLETED",12,"N/A",0,60,"","0000-00-00","2025-8-19"
101280,"Tensei Shitara Slime Datta Ken","TV","COMPLETED",24,"N/A",0,90,"","2026-2-16","2026-3-2"
101289,"Hyakuren no Haou to Seiyaku no Valkyria","TV","PAUSED",1,"N/A",0,0,"","2025-8-28","0000-00-00"
101291,"Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai","TV","COMPLETED",13,"N/A",0,100,"","0000-00-00","0000-00-00"
101351,"Happy Sugar Life","TV","PLANNING",0,"N/A",0,0,"","0000-00-00","0000-00-00"
101386,"Hitoribocchi no ○○ Seikatsu","TV","COMPLETED",12,"N/A",0,70,"","0000-00-00","0000-00-00"
101501,"Koi to Uso: Isshou no Koi/Koi no Kimochi","OVA","COMPLETED",1,"N/A",0,60,"","2025-8-19","2025-8-19"
101573,"Yagate Kimi ni Naru","TV","COMPLETED",13,"N/A",0,90,"","0000-00-00","0000-00-00"
101773,"Ueno-san wa Bukiyou","TV_SHORT","PLANNING",0,"N/A",0,0,"","0000-00-00","0000-00-00"
101970,"Iya na Kao sare nagara Opantsu Misete Moraitai","OVA","COMPLETED",6,"N/A",0,100,"","0000-00-00","0000-00-00"
102680,"Watashi ni Tenshi ga Maiorita!","TV","COMPLETED",12,"N/A",0,70,"","0000-00-00","0000-00-00"
102976,"Kono Subarashii Sekai ni Shukufuku wo! Kurenai Densetsu","MOVIE","COMPLETED",1,"N/A",0,80,"","0000-00-00","2025-8-6"
103054,"Tiny Evil","OVA","PLANNING",0,"N/A",0,0,"","0000-00-00","0000-00-00"
103139,"Domestic na Kanojo","TV","COMPLETED",12,"N/A",0,100,"","2020-2-2","2020-2-2"
